DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2014,24.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2015,22.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2016,19.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2017,17.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2018,15.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2019,14.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2020,15.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2021,14.9,d,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2022,13.0,d,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2023,12.2,d,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2024,11.4,d,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Spain,2025,10.5,d,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2009,8.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2010,8.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2011,8.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2012,7.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2013,8.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2014,8.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2015,9.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2016,8.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2017,8.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2018,7.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2019,6.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2020,7.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2021,7.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2022,6.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2023,7.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2024,8.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Finland,2025,9.7,,
